Date,stock,q_price,q_log_return,peRatio,marketCap,priceToSalesRatio,ptbRatio,enterpriseValueOverEBITDA,netIncomePerShare,roe,returnOnTangibleAssets,freeCashFlowPerShare,operatingCashFlowPerShare,currentRatio,debtToEquity,capexToOperatingCashFlow,grahamNumber,incomeQuality
2003-06-30,ETN,10.3870267868042,-0.10951446502952811,15.318548387096774,5698500000.0,2.811297483966453,2.0308267997148968,33.67777777777778,0.32068965517241377,0.03314326443335709,0.01790527531767424,0.6620689655172414,0.8931034482758621,1.631610219845514,0.7006414825374199,-0.25868725868725867,8.355617845726835,2.78494623655914
2003-09-30,ETN,11.599278450012209,0.11038529047230705,15.719102803738318,6727776000.0,3.3207186574531096,2.286026503567788,32.94167049808429,0.35243741765480896,0.036357458375807,0.019825829164350564,0.642292490118577,0.8629776021080369,1.6456473214285714,0.6598708800543663,-0.25572519083969464,8.767514881960166,2.4485981308411215
2003-12-31,ETN,13.472859382629396,0.14973435215126463,17.976315789473684,8197200000.0,3.9352856457033125,2.6298363811357075,37.929323308270675,0.37549407114624506,0.03657362848893166,0.020404510470735635,0.8596837944664032,1.1758893280632412,1.4548447789275636,0.6265640038498557,-0.2689075630252101,9.31344423720352,3.1315789473684212
2004-03-31,ETN,15.770209312438965,0.15744542796738026,16.04693656716418,8601158000.0,3.8432341376228774,2.826538941833717,34.99386,0.43762246897452645,0.04403549129148866,0.024074739489759252,-0.07184846505551927,0.08817766165904638,1.3829113924050633,0.6447584620440355,-1.8148148148148149,9.89212163917382,0.20149253731343283
2004-06-30,ETN,16.85869598388672,0.06674393209241591,15.290301242236024,9846954000.0,4.097775280898876,3.0926363065326634,36.012203703703705,0.5292570677186061,0.050565326633165826,0.029166666666666667,0.8185404339250493,1.0848126232741617,1.2512214983713354,0.5989321608040201,-0.24545454545454545,11.164300484000085,2.049689440993789
2004-09-30,ETN,19.035886764526367,0.12145936894666232,14.250847058823531,9690576000.0,3.8106865906409753,2.8755418397626116,35.31674617737003,0.556282722513089,0.050445103857566766,0.029214641691012202,0.49410994764397903,0.7198952879581152,1.2777337559429478,0.5759643916913947,-0.31363636363636366,11.748362010502845,1.2941176470588236
2004-12-31,ETN,19.33432006835937,0.015555783844275695,15.104655737704917,11056608000.0,4.199243448537789,3.0661697171381035,35.01265934065934,0.5988219895287958,0.050748752079866885,0.030510170056685562,0.42539267015706805,0.8540575916230366,1.4067197170645447,0.49168053244592347,-0.5019157088122606,12.608874300548205,1.4262295081967213
2005-03-31,ETN,21.441600799560547,0.10345123897947683,13.38601604278075,10012740000.0,3.7726978146194425,2.8380782312925175,34.54810344827586,0.6107119529719138,0.05300453514739229,0.03013213019658395,0.08817766165904638,0.3037230568256042,1.3477227722772278,0.5952380952380952,-0.7096774193548387,12.582622412011775,0.49732620320855614
2005-06-30,ETN,19.69573783874512,-0.0849307386009932,10.733277511961722,8973020000.0,3.1662032462949896,2.5718028088277443,29.881135135135136,0.6975967957276369,0.05990255087417598,0.03305915849414742,0.8144192256341789,1.074766355140187,1.382615444315095,0.6342791630839782,-0.2422360248447205,13.51988749950834,1.5406698564593302
2005-09-30,ETN,18.30373191833496,-0.07329728995284013,11.905522613065328,9476796000.0,3.397918967371818,2.564762110960758,30.65637234042553,0.6673373574782026,0.05385656292286874,0.031137537161633547,0.6975184439973172,0.9926224010731053,1.2844491675522494,0.5797023004059539,-0.2972972972972973,13.640094510695706,1.4874371859296482
