DATE,AAPL,ADBE,AJG,ANSS,APH,ATVI,AZO,BRO,CHD,CPRT,FDS,FICO,GILD,INTU,JBHT,LOW,MNST,NVR,ODFL,ORLY,POOL,QCOM,RMD,ROST,STZ,TJX,TSCO,TYL,UNH,WST
2019-09-27,53.205841064453125,277.5400085449219,84.06280517578125,217.08999633789065,46.0753059387207,50.88294982910156,1085.6500244140625,34.73960494995117,72.13299560546875,19.927499771118164,233.3888397216797,298.9800109863281,53.8856086730957,256.2585754394531,107.31131744384766,102.13827514648438,28.905000686645508,3626.68994140625,113.00659942626952,394.4800109863281,192.16639709472656,69.84568786621094,129.3216094970703,105.01642608642578,194.3754730224609,52.05098724365234,83.88592529296875,256.260009765625,203.8422393798828,139.40939331054688
2019-10-04,55.19723129272461,276.9599914550781,84.2615737915039,224.6300048828125,46.27263641357422,53.90694046020508,1060.3299560546875,35.34140396118164,72.50479888916016,19.997499465942383,232.3477783203125,309.95001220703125,53.59433364868164,260.0558776855469,104.9339370727539,100.1615219116211,28.290000915527344,3706.340087890625,106.89849090576172,390.6199951171875,194.22750854492188,70.62955474853516,128.1599884033203,104.9008560180664,182.8072967529297,52.487674713134766,87.74989318847656,262.2900085449219,208.14141845703125,140.12191772460938
2019-10-11,57.434207916259766,278.2900085449219,83.2771987915039,224.16000366210935,46.67693710327149,53.30409240722656,1085.969970703125,34.982276916503906,70.66478729248047,20.342500686645508,236.4541778564453,309.2200012207031,54.81939697265625,263.49249267578125,106.6444854736328,103.3224639892578,28.149999618530277,3572.0400390625,112.31040954589844,401.3500061035156,195.7685394287109,69.90947723388672,125.5077667236328,108.30030059814452,182.1845245361328,55.60143280029297,88.88081359863281,268.239990234375,210.2910003662109,140.52769470214844
2019-10-18,57.48283386230469,265.5199890136719,84.76325988769531,218.42999267578125,47.64916610717773,53.031829833984375,1110.0,35.25405502319336,70.44549560546875,20.57999992370605,240.7340240478516,301.8599853515625,55.607540130615234,256.0775756835937,111.69884490966795,105.21530151367188,28.030000686645508,3892.889892578125,117.25601196289062,403.2000122070313,209.44520568847656,70.80272674560547,127.00813293457033,109.90852355957033,185.9022216796875,57.30070877075195,87.94778442382812,263.2300109863281,232.32669067382807,139.3896026611328
2019-10-25,59.95566177368164,270.9800109863281,84.66859436035156,220.25,48.24118423461914,53.7319221496582,1129.469970703125,34.90461349487305,71.39888763427734,20.98500061035156,244.90786743164065,299.2799987792969,54.24541091918945,251.39453125,112.82958221435548,104.5541000366211,28.174999237060547,3727.75,122.55626678466795,438.5400085449219,192.7346343994141,73.072265625,139.64019775390625,106.59577941894533,184.788818359375,56.10456466674805,90.90703582763672,260.92999267578125,231.9195098876953,139.58860778808594
2019-11-01,62.20234298706055,277.82000732421875,86.62793731689453,220.0,49.46850204467773,54.27643585205078,1156.280029296875,36.52560424804688,65.57371520996094,20.727500915527344,246.64300537109372,309.1199951171875,55.393367767333984,250.23345947265625,115.87380981445312,105.83783721923828,28.125,3669.510009765625,123.55457305908205,437.010009765625,199.5729217529297,76.18036651611328,142.7086944580078,106.88468170166016,180.22190856933597,55.0698127746582,90.26618957519533,271.9700012207031,238.8323211669922,145.7808837890625
2019-11-08,63.44265365600586,292.4599914550781,86.2777328491211,224.30999755859372,49.42999649047852,52.798465728759766,1165.8599853515625,36.72476577758789,64.42965698242188,20.364999771118164,237.82293701171875,331.5899963378906,56.01019287109375,250.59446716308597,116.20307159423828,106.82170867919922,29.07999992370605,3423.25,127.5347671508789,439.2300109863281,194.6416473388672,85.70521545410156,139.62046813964844,107.6839599609375,177.66571044921875,56.22798538208008,89.3614501953125,277.7200012207031,243.33981323242188,146.36544799804688
2019-11-15,64.81324005126953,297.5,87.02550506591797,235.1499938964844,49.213409423828125,51.96224594116211,1171.8800048828125,36.84150695800781,64.43477630615234,21.497499465942383,245.5633850097656,348.1099853515625,55.744606018066406,259.5704040527344,112.0965347290039,108.24600219726562,29.31999969482422,3595.169921875,126.7071533203125,445.2300109863281,200.2177581787109,82.77027893066406,142.77493286132812,109.17665100097656,170.1729736328125,57.01261520385742,92.82015991210938,284.8299865722656,255.1104888916016,148.76307678222656
2019-11-22,63.84260177612305,299.29998779296875,86.83619689941406,246.3800048828125,48.96794509887695,51.57330703735352,1163.8699951171875,36.822059631347656,65.85049438476562,22.315000534057617,250.7783203125,355.69000244140625,55.90738296508789,253.4823760986328,112.65826416015624,110.75725555419922,29.315000534057617,3689.5400390625,124.50692749023438,438.260009765625,200.34329223632807,77.37439727783203,140.9793243408203,107.39505767822266,171.66012573242188,56.40264129638672,91.9463119506836,287.1099853515625,262.1558532714844,145.0477294921875
2019-11-29,65.1766357421875,309.5299987792969,88.2844009399414,254.69000244140625,50.05569839477539,53.313812255859375,1177.9200439453125,36.71504974365234,67.18971252441406,22.25,250.9763336181641,367.75,57.60361862182617,252.58480834960935,111.9803237915039,109.92328643798828,29.90999984741211,3791.889892578125,125.83364868164062,442.2799987792969,199.37759399414065,76.15303039550781,145.20143127441406,111.85383605957033,176.24478149414062,58.26113128662109,89.32628631591797,290.1700134277344,265.025146484375,145.67190551757812
2019-12-06,66.02046203613281,306.2300109863281,89.15283203125,256.6300048828125,50.07014083862305,53.68330383300781,1172.6600341796875,37.32793426513672,67.19927215576172,22.145000457763672,260.48760986328125,363.8299865722656,57.466556549072266,249.94078063964844,110.84713745117188,108.9581527709961,30.020000457763672,3760.6201171875,121.16280364990234,445.5700073242188,203.4240264892578,76.99153137207031,146.16229248046875,109.94226837158205,173.96197509765625,57.03167343139648,92.22061157226562,286.2699890136719,266.3482971191406,146.10784912109375
